"token","en-US","fr-FR","ja-JP"
"account_title","Account",,
"account_info_title","Update Email",,
"account_security_title","Security",,
"pwdchange_old_placeholder","Current password",,
"pwdchange_old_label","Current password",,
"pwdchange_new_placeholder","New password",,
"pwdchange_new_label","New password",,
"pwdchange_new_confirm_placeholder","Confirmation",,
"pwdchange_new_confirm_label","Confirmation",,
"save_new_pwd_button","Save new password",,
"pwdchange_invalid_password","Invalid password.",,
"emailchange_pwd_placeholder","Password",,
"emailchange_pwd_label","Password",,
"emailchange_email_placeholder","Email",,
"emailchange_email_label","Email",,
"save_new_email_button","Save new email",,
"change_pwd_btn","Update password",,
"change_email_btn","Update email",,
"delete_account_btn","Delete account",,
"delete_account_title","Delete account",,
