"token","en-US","fr-FR","ja-JP"
"modal_first_billing_title","Create a billing profile",,
"billing_create_label_placeholder","Billing profile label",,
"billing_create_label_label","Billing profile label",,
"billing_create_firstname_placeholder","Firstname",,
"billing_create_firstname_label","Firstname",,
"billing_create_lastname_placeholder","Lastname",,
"billing_create_lastname_label","Lastname",,
"billing_create_zip_placeholder","Zipcode",,
"billing_create_zip_label","Zipcode",,
"billing_create_country_placeholder","Country",,
"billing_create_country_label","Country",,
"billing_create_creditcard_label","Credit Card",,
"create_billing_profile","Create a billing profile",,
"modal_first_billing_description","Please create a billing profile to fully use our services.",,
"billing_address_title","Edit your billing address",,
"billing_title","Billing",,
"save_billing_address","Save",,
"edit_billing_method","Edit",,
"save_billing_data","Save",,
"payment_method_billing","Payment Method",,
"payment_method_exp","Credit card expiration",,
"billing_history_headers_invoice_number","Invoice Number",,
"billing_history_headers_created","Order Date",,
"billing_history_headers_paid","Paid Date",,
"billing_history_headers_status","Status",,
"billing_history_headers_price","Price",,
"billing_history_headers_actions","Actions",,
"billing_history_empty","No billing history yet.",,
"billing_history_title","Billing history",,
"billing_info_title","Edit your payment information",,
"no_billing_location_yet","No billing location yet.",,
"no_payment_information_yet","No payment method registered.",,
"add_payment_method_cta","Add payment method",,
