"token","en-US","fr-FR","ja-JP"
"workgroups_headers_name","Name",,
"workgroups_headers_type","Type",,
"workgroups_headers_owner","Owner",,
"workgroups_headers_actions","Actions",,
"workgroup_add_title_modal","Add group",,
"workgroup_name_label","Name",,
"workgroup_name_placeholder","Name",,
"create_group_cta","Create group",,
"workgroup_add_user_modal_cta","Add user",,
"workgroup_users_modal_cta","Users",,
"workgroups_users_headers_email","Email",,
"workgroups_users_headers_name","Name",,
"workgroups_users_headers_access","Access",,
"workgroups_users_headers_actions","Actions",,
"workgroup_user_list","Work group users",,
"workgroup_user_add_title","Add user to group",,
"workgroup_user_add_description","You can add or invite user to give them access to your services.",,
"workgroup_user_add_invite_link_description","If the user does not have an account you can create a invite link",,
"add_user_to_group_cta","Add user",,
"group_invite_link_cta","Generate invite link",,
"workgroup_useradd_email_placeholder","Email",,
"workgroup_useradd_email_label","Email",,
"workgroup_useradd_role_placeholder","Role",,
"workgroup_link_invite_copy_confirm","Invite link copied.",,
"error_target_user_not_found","User not found. You can use an invite link instead.",,
"workgroup_user_list_title","User list",,
"workgroup_summary_group","Group:",,
"workgroup_summary_owned_by","Owned by",,
"workgroup_del_user_confirm_title","Remove user from group",,
"workgroup_del_user_confirm_desc","This will remove this {{user}} from {{group}}.",,
"workgroup_delete_cta","Delete",,
"workgroup_del_group_confirm_title","Delete group",,
"workgroup_del_group_confirm_desc","This will delete {{group}} permantly, do you want to proceed?",,
