"token","en-US","fr-FR","ja-JP","comment"
"vuelidate_validator_email","This field required a valid email.",,,"Fyvue Forms"
"vuelidate_validator_required","This field is required.",,,"Fyvue Forms"
"vuelidate_validator_req","This field is required.",,,"Fyvue Forms"
"vuelidate_validator_sameAs","Boths fields must be identical.",,,"Fyvue Forms"
"vuelidate_validator_minLength","Value is too short.",,,"Fyvue Forms"
"vuelidate_validator_maxLength","Value is too long.",,,"Fyvue Forms"
"global_datetime","{{val, datetime}}","{{val, datetime}}","{{val, datetime}}","Fyvue globals"
"global_paging","Showing {{start, number}} to {{end, number}} of {{total, number}} results",,,"Fyvue globals"
"unknown_error","Unknown error",,,"Fyvue globals"
"global_loading_text","Loading...",,,"Fyvue globals"
"confirm_modal_cta_cancel","Cancel",,,"FyConfirm component"
"confirm_modal_cta_confirm","Confirm",,,"FyConfirm component"
"previous_paging","Previous page",,,"FyPaging component"
"next_paging","Next page",,,"FyPaging component"
"update_email_display_label","Email",,,"KlbUpdateEmailModal component"
"update_email_form_pwd_placeholder","Password",,,"KlbUpdateEmailModal component"
"update_email_form_pwd_label","Current password",,,"KlbUpdateEmailModal component"
"update_email_form_email_placeholder","New email",,,"KlbUpdateEmailModal component"
"update_email_form_email_label","New email",,,"KlbUpdateEmailModal component"
"update_email_cta","Confirm",,,"KlbUpdateEmailModal component"
"update_email_modal_title","Update your email",,,"KlbUpdateEmailModal component"
"update_email_display_cta","Update your email",,,"KlbUpdateEmailModal component"
"update_pwd_display_label","Update your password",,,"KlbUpdatePassword component"
"update_pwd_display_cta","Update your password",,,"KlbUpdatePassword component"
"update_pwd_modal_title","Update your password",,,"KlbUpdatePassword component"
"update_pwd_form_oldPwd_placeholder","Current password",,,"KlbUpdatePassword component"
"update_pwd_form_oldPwd_label","Current password",,,"KlbUpdatePassword component"
"update_pwd_form_newPwd_placeholder","New password",,,"KlbUpdatePassword component"
"update_pwd_form_newPwd_label","New password",,,"KlbUpdatePassword component"
"update_pwd_form_pwdConfirm_placeholder","Confirmation",,,"KlbUpdatePassword component"
"update_pwd_form_pwdConfirm_label","Confirm your new password",,,"KlbUpdatePassword component"
"update_pwd_cta","Confirmation",,,"KlbUpdatePassword component"
"delete_account_display_label","Delete my account",,,"KlbDeleteAccount component"
"delete_account_display_cta","Delete my account",,,"KlbUpdatePassword component"
"billing_history_empty","Biling history is empty",,,"KlbBillingHistory component"
"billing_history_headers_invoice_number","Invoice",,,"KlbBillingHistory component"
"billing_history_headers_created","Created",,,"KlbBillingHistory component"
"billing_history_headers_paid","Paid",,,"KlbBillingHistory component"
"billing_history_headers_status","Status",,,"KlbBillingHistory component"
"billing_history_headers_price","Amount",,,"KlbBillingHistory component"
"billing_history_headers_actions","...",,,"KlbBillingHistory component"
"billing_history_download_cta","Download PDF",,,"KlbBillingHistory component"
"payment_method_billing","Payment Method",,,"KlbUpdatePaymentMethod component"
"payment_method_exp","Credit card expiration",,,"KlbUpdatePaymentMethod component"
"edit_billing_method","Edit",,,"KlbUpdatePaymentMethod component"
"save_payment_method","Save payment method",,,"KlbUpdatePaymentMethod component"
"no_payment_method_yet","No payment method.",,,"KlbUpdatePaymentMethod component"
"add_payment_method_cta","Add a payment method",,,"KlbUpdatePaymentMethod component"
"payment_method_label","Credit Card Information",,,"KlbUpdatePaymentMethod component"
"cancel_save_payment_method","Cancel",,,"KlbUpdatePaymentMethod component"
"billing_location_firstname_placeholder","Firstname",,,"KlbUpdatePaymentMethod component"
"billing_location_firstname_label","Firstname",,,"KlbUpdatePaymentMethod component"
"billing_location_lastname_placeholder","Lastname",,,"KlbUpdatePaymentMethod component"
"billing_location_lastname_label","Lastname",,,"KlbUpdatePaymentMethod component"
"billing_location_zip_placeholder","Zipcode",,,"KlbUpdatePaymentMethod component"
"billing_location_zip_label","Zipcode",,,"KlbUpdatePaymentMethod component"
"billing_location_country_label","Country",,,"KlbUpdatePaymentMethod component"
"save_billing_location","Save",,,"KlbUpdatePaymentMethod component"
"no_billing_location_yet","No billing location.",,,"KlbUpdatePaymentMethod component"
"add_pm_modal_title","Add payment method",,,"KlbAdddPaymentMethodModal component"
"add_pm_label_placeholder","My principal payment method...",,,"KlbAdddPaymentMethodModal component"
"add_pm_label_label","Label",,,"KlbAdddPaymentMethodModal component"
"add_pm_firstname_placeholder","Firstname",,,"KlbAdddPaymentMethodModal component"
"add_pm_firstname_label","Firstname",,,"KlbAdddPaymentMethodModal component"
"add_pm_lastname_placeholder","Lastname",,,"KlbAdddPaymentMethodModal component"
"add_pm_lastname_label","Lastname",,,"KlbAdddPaymentMethodModal component"
"add_pm_zip_placeholder","Zipcode",,,"KlbAdddPaymentMethodModal component"
"add_pm_country_label","Country",,,"KlbAdddPaymentMethodModal component"
"add_pm_zip_label","Zipcode",,,"KlbAdddPaymentMethodModal component"
"payment_method_label","Credit Card Information",,,"KlbAdddPaymentMethodModal component"
"create_billing_profile","Save payment method",,,"KlbAdddPaymentMethodModal component"
